"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL_POPULATION","ATTENDING_EARLY_CHILDHOOD","ATTENDING_PRIMARY","ATTENDING_LOWER_SECONDARY","ATTENDING_UPPER_SECONDARY","ATTENDING_OTHER","ATTENDING_LEVEL_NOT_STATED","NOT_ATTENDING_EARLY_CHILDHOOD","NOT_ATTENDING_PRIMARY","NOT_ATTENDING_LOWER_SECONDARY","NOT_ATTENDING_UPPER_SECONDARY","NOT_ATTENDING_OTHER","NOT_ATTENDING_LEVEL_NOT_STATED","NEVER_ATTENDED_SCHOOL","ATTENDANCE_NOT_STATED_EARLY_CHILDHOOD","ATTENDANCE_NOT_STATED_PRIMARY","ATTENDANCE_NOT_STATED_LOWER_SECONDARY","ATTENDANCE_NOT_STATED_UPPER_SECONDARY","ATTENDANCE_NOT_STATED_OTHER","ATTENDANCE_NOT_STATED_LEVEL_NOT_STATED"
"182","DISTRICT","Dang","Male","109672","11097","37106","21242","12053","88","339","104","7221","10987","7289","109","102","1788","1","33","4","3","2","104"
"183","DISTRICT","Dang","Female","111175","9613","33465","21320","12948","108","351","159","7122","11758","11574","177","158","2276","2","19","4","5","3","113"
"184","DISTRICT","Banke","Total","218792","20494","64334","32415","17583","706","810","471","19653","15957","14379","631","396","30652","2","51","5","13","4","236"
"185","DISTRICT","Banke","Male","110813","11334","33868","16943","9003","334","396","239","9954","8402","6376","228","160","13410","2","26","2","6","2","128"
"186","DISTRICT","Banke","Female","107979","9160","30466","15472","8580","372","414","232","9699","7555","8003","403","236","17242","0","25","3","7","2","108"
"187","DISTRICT","Bardiya","Total","149561","12876","45280","27282","14766","148","335","182","10130","18040","14890","324","197","4953","2","35","9","6","1","105"
"188","DISTRICT","Bardiya","Male","73162","6883","23677","13670","6836","64","175","95","5096","8744","5615","104","80","2050","1","16","4","2","0","50"
"189","DISTRICT","Bardiya","Female","76399","5993","21603","13612","7930","84","160","87","5034","9296","9275","220","117","2903","1","19","5","4","1","55"
"190","DISTRICT","Dolpa","Total","16395","1158","5443","2777","1975","68","191","28","1311","724","601","23","21","2040","0","3","0","0","0","32"
"191","DISTRICT","Dolpa","Male","7930","603","2721","1371","992","34","86","9","563","398","325","13","8","787","0","2","0","0","0","18"
"192","DISTRICT","Dolpa","Female","8465","555","2722","1406","983","34","105","19","748","326","276","10","13","1253","0","1","0","0","0","14"
"193","DISTRICT","Mugu","Total","26527","2211","9975","4957","2670","66","105","34","1163","1301","1898","31","39","2047","1","7","0","0","0","22"
"194","DISTRICT","Mugu","Male","13071","1178","5073","2474","1342","35","62","18","559","603","940","16","20","740","1","3","0","0","0","7"
"195","DISTRICT","Mugu","Female","13456","1033","4902","2483","1328","31","43","16","604","698","958","15","19","1307","0","4","0","0","0","15"
"196","DISTRICT","Humla","Total","20826","1954","7546","4001","2440","71","59","27","979","685","763","61","17","2173","0","5","0","2","0","43"
"197","DISTRICT","Humla","Male","10175","1047","3772","1958","1234","51","25","16","464","355","375","26","9","816","0","2","0","1","0","24"
"198","DISTRICT","Humla","Female","10651","907","3774","2043","1206","20","34","11","515","330","388","35","8","1357","0","3","0","1","0","19"
"199","DISTRICT","Bajhang","Total","77458","5725","28691","16492","9535","49","225","79","3651","3673","4464","69","49","4680","0","12","1","5","1","57"
