"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_POPULATION","WORKED_6_MONTHS_PLUS","WORKED_3_TO_5_MONTHS","WORKED_LESS_THAN_3_MONTHS","NO_ECONOMIC_WORK"
"213","District","Bardiya","Female","206204","82464","33241","25156","65343"
"214","District","Dolpa","Total","34351","8186","6986","4703","14476"
"215","District","Dolpa","Male","17125","4859","3573","2333","6360"
"216","District","Dolpa","Female","17226","3327","3413","2370","8116"
"217","District","Mugu","Total","49339","25727","4245","3627","15740"
"218","District","Mugu","Male","24578","13222","1904","1736","7716"
"219","District","Mugu","Female","24761","12505","2341","1891","8024"
"220","District","Humla","Total","42566","16609","9149","4553","12255"
"221","District","Humla","Male","21349","9080","4146","2145","5978"
"222","District","Humla","Female","21217","7529","5003","2408","6277"
"223","District","Jumla","Total","95068","41742","12037","8942","32347"
"224","District","Jumla","Male","47032","21521","5512","4145","15854"
"225","District","Jumla","Female","48036","20221","6525","4797","16493"
"226","District","Kalikot","Total","111680","43056","18095","14632","35897"
"227","District","Kalikot","Male","54845","22807","8169","6846","17023"
"228","District","Kalikot","Female","56835","20249","9926","7786","18874"
"229","District","Dailekh","Total","197756","78399","30561","23743","65053"
"230","District","Dailekh","Male","92776","39844","13148","10280","29504"
"231","District","Dailekh","Female","104980","38555","17413","13463","35549"
"232","District","Jajarkot","Total","145034","70624","16745","25653","32012"
"233","District","Jajarkot","Male","71513","37717","6741","12158","14897"
"234","District","Jajarkot","Female","73521","32907","10004","13495","17115"
"235","District","Rukum (West)","Total","132779","55961","22894","24361","29563"
"236","District","Rukum (West)","Male","63276","30098","9024","10699","13455"
"237","District","Rukum (West)","Female","69503","25863","13870","13662","16108"
"238","District","Salyan","Total","192044","84340","29949","25287","52468"
"239","District","Salyan","Male","90881","44586","12203","10583","23509"
"240","District","Salyan","Female","101163","39754","17746","14704","28959"
"241","District","Surkhet","Total","337276","143926","37684","33924","121742"
"242","District","Surkhet","Male","158483","77748","14978","13653","52104"
"243","District","Surkhet","Female","178793","66178","22706","20271","69638"
"244","District","Bajura","Total","107673","42446","17478","12729","35020"
"245","District","Bajura","Male","51306","21442","7650","5784","16430"
"246","District","Bajura","Female","56367","21004","9828","6945","18590"
"247","District","Bajhang","Total","147850","54646","25971","22420","44813"
"248","District","Bajhang","Male","67279","26592","10989","9823","19875"
"249","District","Bajhang","Female","80571","28054","14982","12597","24938"
"250","District","Darchula","Total","109252","36429","16216","16141","40466"
"251","District","Darchula","Male","51980","20160","7078","6788","17954"
"252","District","Darchula","Female","57272","16269","9138","9353","22512"
"253","District","Baitadi","Total","194300","65436","36659","34656","57549"
"254","District","Baitadi","Male","88850","33844","15145","14787","25074"
"255","District","Baitadi","Female","105450","31592","21514","19869","32475"
"256","District","Dadeldhura","Total","112560","44462","17250","14480","36368"
"257","District","Dadeldhura","Male","51509","22688","6915","6050","15856"
"258","District","Dadeldhura","Female","61051","21774","10335","8430","20512"
"259","District","Doti","Total","157993","61747","24476","19972","51798"
"260","District","Doti","Male","69122","28288","9213","8230","23391"
"261","District","Doti","Female","88871","33459","15263","11742","28407"
"262","District","Achham","Total","175422","82214","29574","23906","39728"
"263","District","Achham","Male","78010","36985","12253","10673","18099"
"264","District","Achham","Female","97412","45229","17321","13233","21629"
"265","District","Kailali","Total","752157","278049","102407","88967","282734"
"266","District","Kailali","Male","351928","162931","38594","33913","116490"
"267","District","Kailali","Female","400229","115118","63813","55054","166244"
"268","District","Kanchanpur","Total","426197","185067","62817","63006","115307"
"269","District","Kanchanpur","Male","193269","94354","23044","26119","49752"
"270","District","Kanchanpur","Female","232928","90713","39773","36887","65555"
"1","Country","Nepal","Total","23958868","9820732","2732151","2430427","8975558"
"2","Country","Nepal","Male","11519621","5837570","1084316","954436","3643299"
"3","Country","Nepal","Female","12439247","3983162","1647835","1475991","5332259"
"4","Urban/Rural","Urban Municipalities","Total","15975610","6376248","1634951","1537003","6427408"
"5","Urban/Rural","Urban Municipalities","Male","7695786","3905973","627413","584365","2578035"
"6","Urban/Rural","Urban Municipalities","Female","8279824","2470275","1007538","952638","3849373"
"7","Urban/Rural","Rural Municipalities","Total","7983258","3444484","1097200","893424","2548150"
"8","Urban/Rural","Rural Municipalities","Male","3823835","1931597","456903","370071","1065264"
"9","Urban/Rural","Rural Municipalities","Female","4159423","1512887","640297","523353","1482886"
"10","Ecological Belt","Mountain","Total","1440543","665656","207046","165885","401956"
"11","Ecological Belt","Mountain","Male","703149","351793","92185","74932","184239"
"12","Ecological Belt","Mountain","Female","737394","313863","114861","90953","217717"
"13","Ecological Belt","Hill","Total","9875921","4366329","1114204","998962","3396426"
"14","Ecological Belt","Hill","Male","4729532","2431378","447332","407505","1443317"
"15","Ecological Belt","Hill","Female","5146389","1934951","666872","591457","1953109"
"16","Ecological Belt","Tarai","Total","12642404","4788747","1410901","1265580","5177176"
"17","Ecological Belt","Tarai","Male","6086940","3054399","544799","471999","2015743"
"18","Ecological Belt","Tarai","Female","6555464","1734348","866102","793581","3161433"
"19","Province","Koshi Province","Total","4127094","1957453","469936","406699","1293006"
"20","Province","Koshi Province","Male","1987135","1129931","184677","160272","512255"
"21","Province","Koshi Province","Female","2139959","827522","285259","246427","780751"
"22","Province","Madhesh","Total","4770013","1588795","508884","452767","2219567"
"23","Province","Madhesh","Male","2355108","1131725","203831","167202","852350"
"24","Province","Madhesh","Female","2414905","457070","305053","285565","1367217"
"25","Province","Bagmati","Total","5260691","2360521","450612","435563","2013995"
