PROVINCE,High,Low,Medium,Very High
Bagmati,0.0,69.23076923076923,30.76923076923077,0.0
Gandaki,12.5,75.0,12.5,0.0
Karnali,35.294117647058826,5.88235294117647,11.76470588235294,47.05882352941176
Koshi,50.0,0.0,30.0,20.0
Lumbini,20.0,20.0,40.0,20.0
Madhesh,33.33333333333333,8.333333333333332,16.666666666666664,41.66666666666667
Sudurpaschim,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857
