"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL","EARLY_CHILDHOOD","PRIMARY_LEVEL","LOWER_SECONDARY","UPPER_SECONDARY","SLC_SEE_EQUIVALENT","INTERMEDIATE_EQUIVALENT","GRADUATE_EQUIVALENT","POST_GRADUATE_EQUIVALENT","OTHER","NO_LEVEL","LEVEL_NOT_STATED"
"49","DISTRICT","Okhaldhunga","Total","95706","2860","30608","19274","15860","7392","12086","2567","1149","24","3250","636"
"50","DISTRICT","Okhaldhunga","Male","51314","1450","16777","10761","8793","4014","5935","1294","753","13","1221","303"
"51","DISTRICT","Okhaldhunga","Female","44392","1410","13831","8513","7067","3378","6151","1273","396","11","2029","333"
"52","DISTRICT","Khotang","Total","122004","4374","37948","25056","25007","11581","12198","2678","1190","17","1450","505"
"53","DISTRICT","Khotang","Male","66126","2271","20713","13594","14080","6291","5874","1534","850","8","647","264"
"54","DISTRICT","Khotang","Female","55878","2103","17235","11462","10927","5290","6324","1144","340","9","803","241"
"55","DISTRICT","Bhojpur","Total","114149","3784","37106","25375","21352","11180","8823","2131","1124","53","2502","719"
"56","DISTRICT","Bhojpur","Male","61609","1906","20150","13938","11999","6068","4314","1200","781","21","896","336"
"57","DISTRICT","Bhojpur","Female","52540","1878","16956","11437","9353","5112","4509","931","343","32","1606","383"
"58","DISTRICT","Dhankuta","Total","113263","3885","32343","24519","21339","12018","11604","3104","1550","85","2357","459"
"59","DISTRICT","Dhankuta","Male","60026","2073","17769","13362","11441","6347","5394","1603","1001","25","796","215"
"60","DISTRICT","Dhankuta","Female","53237","1812","14574","11157","9898","5671","6210","1501","549","60","1561","244"
"61","DISTRICT","Terhathum","Total","67174","2219","18139","13834","13529","8219","7100","1987","1005","24","883","235"
"62","DISTRICT","Terhathum","Male","35756","1152","9593","7354","7355","4566","3461","1060","665","8","418","124"
"63","DISTRICT","Terhathum","Female","31418","1067","8546","6480","6174","3653","3639","927","340","16","465","111"
"64","DISTRICT","Panchthar","Total","129734","4588","36697","28369","25400","14082","13355","2996","1269","163","2227","588"
"65","DISTRICT","Panchthar","Male","69389","2371","20432","15767","13524","7295","6270","1590","851","84","922","283"
"66","DISTRICT","Panchthar","Female","60345","2217","16265","12602","11876","6787","7085","1406","418","79","1305","305"
"67","DISTRICT","Ilam","Total","217462","6485","60826","47428","42668","20303","24845","6865","2833","237","3882","1090"
"68","DISTRICT","Ilam","Male","115207","3372","33948","26031","21863","10501","12057","3507","1742","97","1572","517"
"69","DISTRICT","Ilam","Female","102255","3113","26878","21397","20805","9802","12788","3358","1091","140","2310","573"
"70","DISTRICT","Jhapa","Total","763741","31515","195908","150523","138163","93301","98469","29599","11770","614","10456","3423"
"71","DISTRICT","Jhapa","Male","389453","16761","102671","78102","67704","46492","47635","16134","7525","321","4455","1653"
"72","DISTRICT","Jhapa","Female","374288","14754","93237","72421","70459","46809","50834","13465","4245","293","6001","1770"
"73","DISTRICT","Morang","Total","832912","36157","224589","159272","140180","103498","106683","35815","14229","415","8322","3752"
"74","DISTRICT","Morang","Male","435587","19236","118087","84354","71226","53339","53431","21085","9564","171","3329","1765"
"75","DISTRICT","Morang","Female","397325","16921","106502","74918","68954","50159","53252","14730","4665","244","4993","1987"
"76","DISTRICT","Sunsari","Total","661849","30765","185183","124719","111414","80856","83286","24628","10137","543","6868","3450"
"77","DISTRICT","Sunsari","Male","344938","16408","96840","66471","56899","42073","41360","13599","6576","276","2784","1652"
"78","DISTRICT","Sunsari","Female","316911","14357","88343","58248","54515","38783","41926","11029","3561","267","4084","1798"
"79","DISTRICT","Udayapur","Total","240874","10054","74289","51366","40466","25310","25285","5991","2443","206","4288","1176"
"80","DISTRICT","Udayapur","Male","125245","5320","40007","27554","20544","13022","11858","3135","1623","72","1581","529"
