"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL","EARLY_CHILDHOOD","PRIMARY_LEVEL","LOWER_SECONDARY","UPPER_SECONDARY","SLC_SEE_EQUIVALENT","INTERMEDIATE_EQUIVALENT","GRADUATE_EQUIVALENT","POST_GRADUATE_EQUIVALENT","OTHER","NO_LEVEL","LEVEL_NOT_STATED"
"129","DISTRICT","Lalitpur","Female","213860","5687","40937","29039","26326","23788","43758","25741","13297","160","3621","1506"
"130","DISTRICT","Kavrepalanchok","Total","255693","8760","71277","47959","36142","27594","38670","11922","4795","252","6539","1783"
"131","DISTRICT","Kavrepalanchok","Male","139131","4747","39722","27050","20012","15663","19403","6272","2921","82","2425","834"
"132","DISTRICT","Kavrepalanchok","Female","116562","4013","31555","20909","16130","11931","19267","5650","1874","170","4114","949"
"133","DISTRICT","Ramechhap","Total","108043","3740","35055","22388","17254","8739","12225","2462","1451","153","3774","802"
"134","DISTRICT","Ramechhap","Male","58331","1958","19808","12533","9389","4791","5790","1283","943","52","1383","401"
"135","DISTRICT","Ramechhap","Female","49712","1782","15247","9855","7865","3948","6435","1179","508","101","2391","401"
"136","DISTRICT","Sindhuli","Total","200255","7800","66235","41368","30416","18550","23085","4490","2525","73","4593","1120"
"137","DISTRICT","Sindhuli","Male","107754","4054","36337","22968","16347","10260","11371","2368","1682","30","1801","536"
"138","DISTRICT","Sindhuli","Female","92501","3746","29898","18400","14069","8290","11714","2122","843","43","2792","584"
"139","DISTRICT","Makwanpur","Total","333129","11750","113462","72436","40091","30051","38724","11201","5150","553","7540","2171"
"140","DISTRICT","Makwanpur","Male","179943","6199","64388","39711","20723","16576","19343","5759","3047","202","2972","1023"
"141","DISTRICT","Makwanpur","Female","153186","5551","49074","32725","19368","13475","19381","5442","2103","351","4568","1148"
"142","DISTRICT","Chitawan","Total","559603","19268","142070","106546","78027","63163","92586","30127","13288","571","10723","3234"
